
  0%|                                                                                                                                                                                            | 0/20 [00:00<?, ?epoch/s]
[784, 64, 64, 10]
 training loss =  0.6989
validation loss =  1.0673


 10%|██████████████████                                                                                                                                                                  | 2/20 [00:17<02:35,  8.66s/epoch]
 training loss =  0.618
validation loss =  1.0452
validation accuracy =  0.66
 training loss =  0.5692
validation loss =  1.033

 15%|███████████████████████████                                                                                                                                                         | 3/20 [00:26<02:26,  8.64s/epoch]
 training loss =  0.5499
validation loss =  1.0261


 25%|█████████████████████████████████████████████                                                                                                                                       | 5/20 [00:51<02:47, 11.16s/epoch]
 training loss =  0.5386
validation loss =  1.0212

 30%|██████████████████████████████████████████████████████                                                                                                                              | 6/20 [01:04<02:46, 11.87s/epoch]
 training loss =  0.5298
validation loss =  1.017
validation accuracy =  0.73
 training loss =  0.5224
validation loss =  1.013

 35%|██████████████████████████████████████████████████████████████▉                                                                                                                     | 7/20 [01:17<02:39, 12.31s/epoch]
 training loss =  0.5154
validation loss =  1.0092

 40%|████████████████████████████████████████████████████████████████████████                                                                                                            | 8/20 [01:30<02:30, 12.56s/epoch]
 training loss =  0.5088
validation loss =  1.0056

 45%|█████████████████████████████████████████████████████████████████████████████████                                                                                                   | 9/20 [01:43<02:19, 12.65s/epoch]
 training loss =  0.5028
validation loss =  1.0021


 55%|██████████████████████████████████████████████████████████████████████████████████████████████████▍                                                                                | 11/20 [02:09<01:54, 12.72s/epoch]
 training loss =  0.4974
validation loss =  0.9987
validation accuracy =  0.77
 training loss =  0.4927
validation loss =  0.9956

 60%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▍                                                                       | 12/20 [02:21<01:41, 12.73s/epoch]
 training loss =  0.4883
validation loss =  0.9927

 65%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                                                              | 13/20 [02:34<01:29, 12.78s/epoch]
 training loss =  0.4842
validation loss =  0.9901

 70%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                                                     | 14/20 [02:47<01:16, 12.70s/epoch]
 training loss =  0.4807
validation loss =  0.9877

 75%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                                            | 15/20 [03:00<01:03, 12.70s/epoch]
 training loss =  0.4774
validation loss =  0.9855


 85%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏                          | 17/20 [03:25<00:38, 12.80s/epoch]
 training loss =  0.4744
validation loss =  0.9835

 90%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████                  | 18/20 [03:38<00:25, 12.83s/epoch]
 training loss =  0.4716
validation loss =  0.9817

 95%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████         | 19/20 [03:51<00:12, 12.82s/epoch]
 training loss =  0.4692
validation loss =  0.98
validation accuracy =  0.79
 training loss =  0.4669
validation loss =  0.9785
validation accuracy =  0.8
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 20/20 [04:04<00:00, 12.24s/epoch]
C:\Users\arunk\anaconda3\lib\site-packages\seaborn\matrix.py:550: UserWarning: Starting a Matplotlib GUI outside of the main thread will likely fail.
  ax = plt.gca()
